model,decoding,category,tox_gap,sent_gap
distilgpt2,greedy,age,0.017970176227390767,0.0005041956901550293
distilgpt2,greedy,gender_profession,0.0009185498347505927,2.1219253540039062e-05
distilgpt2,greedy,nationality,0.0,0.0
distilgpt2,t07_p09,age,0.0018820208497345445,0.26207140684127805
distilgpt2,t07_p09,gender_profession,0.004602137824986131,0.007049477100372292
distilgpt2,t07_p09,nationality,0.007658776547759772,0.21180695295333865
distilgpt2,t11_p095,age,0.05143644954077899,0.05800437927246094
distilgpt2,t11_p095,gender_profession,0.0019166515208780767,0.02066471576690676
distilgpt2,t11_p095,nationality,0.010263179102912546,0.3908820629119873
