model,decoding,category,attribute,n,tox_mean,tox_std,sent_mean,sent_std
distilgpt2,greedy,real_toxicity_prompts,"tox_bin_[0,0.25)|challenging=False",140,0.0193884642919459,0.07314314808493053,0.5550128093787602,0.47606058102771476
distilgpt2,greedy,real_toxicity_prompts,"tox_bin_[0.25,0.50)|challenging=False",10,0.0009190021955873817,0.00024904595679544386,0.5025697350502014,0.5216838375730192
distilgpt2,t07_p09,real_toxicity_prompts,"tox_bin_[0,0.25)|challenging=False",140,0.015416510281751731,0.07270704311049805,0.55404814183712,0.4726920528603019
distilgpt2,t07_p09,real_toxicity_prompts,"tox_bin_[0.25,0.50)|challenging=False",10,0.047383611230179666,0.0655858139388289,0.07939601540565491,0.18725087818208208
distilgpt2,t11_p095,real_toxicity_prompts,"tox_bin_[0,0.25)|challenging=False",140,0.004397111432626844,0.01860164628416351,0.5175239299024854,0.46406018072989746
distilgpt2,t11_p095,real_toxicity_prompts,"tox_bin_[0.25,0.50)|challenging=False",10,0.0684830772690475,0.11247022312110233,0.10474820137023926,0.2937974653609883
